associatedReferences,associatedReferencesID,acceptedNameUsage,acceptedNameUsageID,traitName,measurementType,measurementTypeID,measurementMethod,measurementRemarks,recordLevel,measurementValue,valueSummary,measurementUnit,sampleSizeValue,variance,varianceMeasure,recordNumber,catalogNumber,verbatimEventDate,eventDate,sex,lifeStage,locality,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,country,stateProvince,county,habitat
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus muscorum (Linnaeus 1758),gbif:1340286,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,3.84,mean,mm,5,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus muscorum (Linnaeus 1758),gbif:1340286,tongue size,tongue length,http://purl.obolibrary.org/obo/HAO_0002606,NA,NA,species,7.75,mean,mm,2,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus lapidarius (Linnaeus 1758),gbif:1340301,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,3.70,mean,mm,216,NA,NA,NA,NA,summer 2017,NA,female,adult,NA,NA,NA,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus lapidarius (Linnaeus 1758),gbif:1340301,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,3.70,mean,mm,216,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus lapidarius (Linnaeus 1758),gbif:1340301,tongue size,tongue length,http://purl.obolibrary.org/obo/HAO_0002606,NA,NA,species,7.48,mean,mm,9,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus pratorum (Linnaeus 1761),gbif:1340305,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,3.60,mean,mm,21,NA,NA,NA,NA,summer 2017,NA,female,adult,NA,NA,NA,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus pratorum (Linnaeus 1761),gbif:1340305,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,3.60,mean,mm,21,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus pratorum (Linnaeus 1761),gbif:1340305,tongue size,tongue length,http://purl.obolibrary.org/obo/HAO_0002606,NA,NA,species,7.29,mean,mm,590,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus sylvarum (Linnaeus 1761),gbif:1340342,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,3.20,mean,mm,21,NA,NA,NA,NA,summer 2017,NA,female,adult,NA,NA,NA,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus sylvarum (Linnaeus 1761),gbif:1340342,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,3.20,mean,mm,21,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus sylvarum (Linnaeus 1761),gbif:1340342,tongue size,tongue length,http://purl.obolibrary.org/obo/HAO_0002606,NA,NA,species,6.51,mean,mm,2,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus pascuorum (Scopoli 1763),gbif:1340405,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,4.02,mean,mm,423,NA,NA,NA,NA,summer 2017,NA,female,adult,NA,NA,NA,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus pascuorum (Scopoli 1763),gbif:1340405,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,4.02,mean,mm,423,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus pascuorum (Scopoli 1763),gbif:1340405,tongue size,tongue length,http://purl.obolibrary.org/obo/HAO_0002606,NA,NA,species,8.10,mean,mm,21,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus subterraneus (Linnaeus 1758),gbif:1340422,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,4.00,mean,mm,2,NA,NA,NA,NA,summer 2017,NA,female,adult,NA,NA,NA,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus subterraneus (Linnaeus 1758),gbif:1340422,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,4.00,mean,mm,2,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus subterraneus (Linnaeus 1758),gbif:1340422,tongue size,tongue length,http://purl.obolibrary.org/obo/HAO_0002606,NA,NA,species,8.06,mean,mm,2,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus hypnorum (Linnaeus 1758),gbif:1340513,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,3.64,mean,mm,3,NA,NA,NA,NA,summer 2017,NA,female,adult,NA,NA,NA,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus hypnorum (Linnaeus 1758),gbif:1340513,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,3.64,mean,mm,3,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus hypnorum (Linnaeus 1758),gbif:1340513,tongue size,tongue length,http://purl.obolibrary.org/obo/HAO_0002606,NA,NA,species,7.36,mean,mm,21,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus ruderarius (Müller 1765),gbif:1340533,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,3.42,mean,mm,9,NA,NA,NA,NA,summer 2017,NA,female,adult,NA,NA,NA,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus ruderarius (Müller 1765),gbif:1340533,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,3.42,mean,mm,9,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus ruderarius (Müller 1765),gbif:1340533,tongue size,tongue length,http://purl.obolibrary.org/obo/HAO_0002606,NA,NA,species,6.93,mean,mm,2,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus hortorum (Linnaeus 1761),gbif:1340542,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,4.20,mean,mm,46,NA,NA,NA,NA,summer 2017,NA,female,adult,NA,NA,NA,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus hortorum (Linnaeus 1761),gbif:1340542,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,4.20,mean,mm,46,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus hortorum (Linnaeus 1761),gbif:1340542,tongue size,tongue length,http://purl.obolibrary.org/obo/HAO_0002606,NA,NA,species,8.45,mean,mm,423,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Eucera longicornis Linnaeus 1758,gbif:1340884,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,3.60,mean,mm,2,NA,NA,NA,NA,summer 2017,NA,female,adult,NA,NA,NA,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Eucera longicornis Linnaeus 1758,gbif:1340884,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,3.60,mean,mm,2,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Eucera longicornis Linnaeus 1758,gbif:1340884,tongue size,tongue length,http://purl.obolibrary.org/obo/HAO_0002606,NA,NA,species,7.29,mean,mm,4,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Eucera nigrescens Perez 1879,gbif:1340969,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,3.45,mean,mm,2,NA,NA,NA,NA,summer 2017,NA,female,adult,NA,NA,NA,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Eucera nigrescens Perez 1879,gbif:1340969,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,3.45,mean,mm,2,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
